flame,point,x_over_d,kind,r_over_d,F,F_rms,T,T_rms,Y_O2,Y_N2,Y_H2O,Y_CH4,Y_CO,Y_CO2,Y_OH,Y_H2,Y_NO,Y_CO_LIF
C,02,2.0,Yfav,-0.04,0.989,0.0236,290.0,3.0,0.198,0.647,0.000499,0.155,0.000366,0.0,4.36e-07,3.01e-06,1.39e-07,3.33e-05
C,02,2.0,Yfav,0.03,0.9891,0.0237,289.0,3.0,0.197,0.648,0.000506,0.155,0.000398,0.0,4.32e-07,3.42e-06,1.5e-07,3.45e-05
C,02,2.0,Yfav,0.17,0.9897,0.0219,289.0,3.0,0.198,0.648,0.000528,0.155,0.000449,0.0,4.73e-07,4.72e-06,8.71e-08,4.5e-05
C,02,2.0,Yfav,0.24,0.9881,0.0251,292.0,4.0,0.198,0.647,0.000594,0.154,0.000289,0.0,3.85e-07,4.35e-06,8.62e-08,6.97e-05
C,02,2.0,Yfav,0.31,0.9896,0.0233,302.0,17.0,0.196,0.648,0.000991,0.154,0.00057,0.000385,4.93e-07,1.97e-05,1.46e-07,0.000164
C,02,2.0,Yfav,0.38,0.9784,0.0339,344.0,61.0,0.191,0.65,0.00342,0.151,0.0013,0.0032,6.25e-07,7.75e-05,4.45e-07,0.000757
C,02,2.0,Yfav,0.44,0.94,0.063,452.0,146.0,0.177,0.658,0.0108,0.141,0.00382,0.0105,6.39e-06,0.000264,1.45e-06,0.00287
C,02,2.0,Yfav,0.51,0.8549,0.0875,671.0,228.0,0.149,0.671,0.0262,0.12,0.0103,0.0251,2.32e-05,0.000609,3.96e-06,0.00779
C,02,2.0,Yfav,0.58,0.716,0.1233,1065.0,364.0,0.0976,0.694,0.0536,0.0834,0.0218,0.0514,9.78e-05,0.00107,1.09e-05,0.0189
C,02,2.0,Yfav,0.65,0.5088,0.1034,1658.0,295.0,0.0383,0.708,0.0925,0.0299,0.0338,0.0952,0.000922,0.00131,2.54e-05,0.0336
C,02,2.0,Yfav,0.72,0.3637,0.029,1973.0,57.0,0.0214,0.721,0.108,0.00322,0.0215,0.118,0.00264,0.000706,3.18e-05,0.0254
C,02,2.0,Yfav,0.79,0.314,0.0184,1980.0,45.0,0.0324,0.729,0.104,0.00103,0.00893,0.119,0.0029,0.00027,2.63e-05,0.0119
