profile,x_over_d,r_over_d,x_m,y_m,temperature,ch4,o2,co2,h2o,co,n2
radial,0.75,-0.9722222522315052,0.005400000140070915,-0.007000000216066837,290.9999694824219,2.9557282687164843e-05,0.05588631331920624,0.10865581035614014,0.09328234940767288,0.004027587827295065,0.7381184697151184
radial,0.75,-1.0416666433836024,0.005400000140070915,-0.007499999832361937,290.9999694824219,1.1907462976523675e-05,0.05789460241794586,0.10744505375623703,0.09231329709291458,0.00398270832374692,0.7383524179458618
radial,0.75,-1.1111111638860571,0.005400000140070915,-0.00800000037997961,290.99993896484375,4.974513103661593e-06,0.06442765891551971,0.10349912941455841,0.08915310353040695,0.0038364429492503405,0.73907870054245
radial,0.75,-1.2499999461902513,0.005400000140070915,-0.008999999612569809,290.9998474121094,5.622430876428552e-07,0.12193956971168518,0.06875351071357727,0.06132390350103378,0.0025485134683549404,0.7454339861869812
radial,0.75,-1.388888857844803,0.005400000140070915,-0.009999999776482582,290.9997863769531,9.471629169865992e-08,0.1943902224302292,0.024981822818517685,0.026265118271112442,0.0009260110673494637,0.7534367442131042
radial,0.75,-1.5277777694993548,0.005400000140070915,-0.010999999940395355,290.9998474121094,1.5396729224903538e-08,0.22722706198692322,0.005143150221556425,0.010375391691923141,0.0001906431862153113,0.7570637464523315
radial,0.75,-1.6666666811539068,0.005400000140070915,-0.012000000104308128,290.9999694824219,7.442040317329202e-10,0.23525992035865784,0.00029004260431975126,0.006488309241831303,1.0751122317742556e-05,0.7579509615898132
radial,0.75,-1.8055555928084586,0.005400000140070915,-0.013000000268220901,291.0,2.099383861198234e-11,0.23572343587875366,1.0007128366851248e-05,0.006264015566557646,3.709383804562094e-07,0.7580021619796753
radial,0.75,-1.9444445044630103,0.005400000140070915,-0.014000000432133675,291.0,4.688138982925083e-13,0.23573938012123108,3.8341735830726975e-07,0.0062563070096075535,1.4212368171229173e-08,0.7580039501190186
radial,0.75,-2.0833332867672048,0.005400000140070915,-0.014999999664723873,291.0,9.204880781210623e-13,0.23573997616767883,1.8377814825498717e-08,0.006256014574319124,6.810436103954487e-10,0.7580040693283081
radial,0.75,-2.2222223277721143,0.005400000140070915,-0.01600000075995922,291.0,1.2595406488624672e-12,0.23574000597000122,1.6344439135451694e-09,0.006256001070141792,6.018663345486175e-11,0.7580040693283081
radial,0.75,-2.546296196265353,0.005400000140070915,-0.018333332613110542,291.0,2.5074623367232762e-12,0.23574000597000122,4.407460160726906e-11,0.006256000138819218,1.5762781704897755e-12,0.7580040693283081
radial,0.75,-2.8703703234593076,0.005400000140070915,-0.020666666328907013,291.0,4.809070676403682e-12,0.23574000597000122,0.0,0.006256000138819218,0.0,0.7580040693283081
radial,0.75,-3.1944444506532617,0.005400000140070915,-0.023000000044703484,291.0,8.23210336703406e-12,0.23574000597000122,0.0,0.006256000138819218,0.0,0.7580040693283081
radial,0.75,-3.518518577847216,0.005400000140070915,-0.025333333760499954,291.0,1.3069417943711858e-11,0.23574000597000122,0.0,0.006256000138819218,0.0,0.7580040693283081
radial,0.75,-3.842592963741885,0.005400000140070915,-0.027666669338941574,291.0,1.6390128837473483e-11,0.23574000597000122,0.0,0.006256000138819218,0.0,0.7580040693283081
radial,0.75,-4.1666665735344095,0.005400000140070915,-0.029999999329447746,291.0,1.6217444054333896e-11,0.23574000597000122,9.936818728961683e-12,0.006256000138819218,3.6833627510904354e-13,0.7580040693283081
radial,0.75,-5.555555431379212,0.005400000140070915,-0.03999999910593033,291.0,8.868666218075916e-12,0.23574000597000122,3.2339436684125644e-11,0.006256000138819218,1.1987530109183742e-12,0.7580040693283081
radial,0.75,-6.000000673035781,0.005400000140070915,-0.04320000484585762,291.0,7.063112681532369e-12,0.23574000597000122,2.4195905695689746e-11,0.006256001070141792,8.968900925762635e-13,0.7580040097236633
radial,1,6.000000155634351,0.007199999876320362,0.04320000112056732,291.0,7.549304931186995e-12,0.23574000597000122,4.932165786897258e-11,0.006256000138819218,1.8282200840019636e-12,0.7580040097236633
radial,1,5.555555431379212,0.007199999876320362,0.03999999910593033,291.0,9.46147760833016e-12,0.23574000597000122,7.002540908240817e-11,0.006256000138819218,2.5956528593162886e-12,0.7580040097236633
radial,1,4.166666832235125,0.007199999876320362,0.030000001192092896,291.0,1.9592287861525115e-11,0.23574000597000122,1.8860529804598514e-10,0.006256000138819218,6.991127728811497e-12,0.7580040097236633
radial,1,3.84259270504117,0.007199999876320362,0.027666667476296425,291.0,2.0103745057564737e-11,0.23574000597000122,2.0040680226429686e-10,0.006256000138819218,7.428557768918154e-12,0.7580040097236633
radial,1,3.518518577847216,0.007199999876320362,0.025333333760499954,291.0,1.6095794835857546e-11,0.23574000597000122,1.6962087290295358e-10,0.006256000138819218,6.287203396793117e-12,0.7580040097236633
radial,1,3.1944444506532617,0.007199999876320362,0.023000000044703484,291.0,1.0540351577659202e-11,0.23574000597000122,1.1333348148845346e-10,0.006256000138819218,4.199914721558784e-12,0.7580040097236633
radial,1,2.8703703234593076,0.007199999876320362,0.020666666328907013,291.0,6.48464008184968e-12,0.23574000597000122,7.079110908581043e-11,0.006256000138819218,2.6138397002384295e-12,0.7580040097236633
radial,1,2.546296196265353,0.007199999876320362,0.018333332613110542,291.0,3.790252833812957e-12,0.23574000597000122,1.4717652097040457e-10,0.006256000138819218,4.784943274938058e-12,0.7580040097236633
radial,1,2.2222223277721143,0.007199999876320362,0.01600000075995922,291.0,2.3852794739376293e-12,0.23573997616767883,4.4229544471363624e-09,0.006256003864109516,1.6397910806986715e-10,0.7580040097236633
radial,1,2.0833334161175623,0.007199999876320362,0.015000000596046448,291.0,2.0408345152711505e-12,0.23573991656303406,5.1255625521662296e-08,0.006256041117012501,1.9007029283812926e-09,0.7580040097236633
